mijoz_id,to'liq_ism,jinsi,tug'ilgan_sana,yoshi,Yosh_guruxi,viloyat,shahar_tuman,telefon,email,ro'yxatdan_o'tgan_sana,mijoz_staji_oy,Mijoz_staji_guruxi,bank,filial,mijoz_segmenti,ta'lim,kasb_sohasi,oilaviy_holat,o'rtacha_oylik_daromad_uzs,Daromad_guruxi,kredit_reytingi,Kredit_reytingi_guruxi,hisob_qoldig'i_uzs,kredit_mavjud,kredit_summasi_uzs,kredit_turi,yillik_foiz_stavkasi,kredit_muddati_oy,Kredit_yuklamasi_foiz,depozit_mavjud,depozit_summasi_uzs,mahsulotlar_soni,asosiy_mahsulot,karta_turi,oxirgi_oy_tranzaksiyalar_soni,oxirgi_oy_tranzaksiya_hajmi_uzs,Faollik_darajasi,mobil_ilova_foydalanadi,internet_banking,oxirgi_kirish_kunlari,Raqamli_mijoz,xavf_reytingi,kyc_status,muddati_o'tgan_qarz,muddati_o'tgan_kunlar,jalb_qilish_kanali,faol_mijoz,risk_segmenti,viloyat_kredit_orni,churn_xavfi,ketib_qolish_xavfi,mijoz_qiymat_indeksi,mijoz_toifasi
UZB103603,Normatova Gulchehra,Ayol,2002-02-07,24,18-24,Andijon,Andijon shahri,998334000000.0,gulchehra.normat88@inbox.uz,2020-08-13,73,Uzoq muddatli (3+ yil),Aloqabank,Filial-010,Retail,Oliy,Turizm,Uylangan/Turmushga chiqqan,6762784,O‘rta (3-7 mln),783,A’lo (750+),218545,Ha,230085859,Iste’mol krediti,27.6,12.0,283.5,Yo‘q,0,3,Ipoteка,Uzcard,8,2897506,Faol,Ha,Ha,12.0,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Mobil ilova,Ha,Yuqori risk,1,Faol / Sodiq,Faol / Sodiq,745155.77,Oltin (Tier 2)
UZB102762,Boboyev Bobur,Erkak,1984-04-12,42,35-44,Andijon,Shahrixon,998934000000.0,bobur.boboye55@umail.uz,2021-07-10,62,Uzoq muddatli (3+ yil),Hamkorbank,Filial-033,Retail,O‘rta,Energetika,Uylangan/Turmushga chiqqan,3360404,O‘rta (3-7 mln),656,Yaxshi (650-749),1198512,Ha,193861976,Mikroqarz,23.9,18.0,320.5,Ha,1147011,1,Avtokredit,Mastercard Gold,8,1603463,Faol,Yo‘q,Ha,7.0,Raqamli,Juda yuqori,Tasdiqlangan,Yo‘q,0,Filial,Ha,Yuqori risk,2,Faol / Sodiq,Faol / Sodiq,428035.26,Oddiy (Tier 3)
UZB103719,Hasanov Karim,Erkak,1980-09-11,45,45-54,Andijon,Xonobod,998884000000.0,karim.hasano95@umail.uz,2018-11-20,94,Uzoq muddatli (3+ yil),Agrobank,Filial-052,Corporate,O‘rta maxsus,O‘zini o‘zi band qilgan,Uylangan/Turmushga chiqqan,2337708,Past (< 3 mln),649,O‘rta (500-649),2042599,Ha,192293477,Kredit kartasi,21.7,36.0,228.5,Yo‘q,0,1,Iste’mol krediti,Uzcard,8,3777171,Faol,Yo‘q,Yo‘q,,An’anaviy,Past,Tasdiqlangan,Yo‘q,0,Agent,Ha,Yuqori risk,3,Faol / Sodiq,Faol / Sodiq,411444.17,Oddiy (Tier 3)
UZB102197,Yusupova Fotima,Ayol,1979-11-02,46,45-54,Andijon,Xonobod,998948000000.0,fotima.yusupo55@yandex.ru,2019-06-20,87,Uzoq muddatli (3+ yil),InFinBank,Filial-009,SME,Oliy,Qishloq xo‘jaligi,Bo‘ydoq,6583515,O‘rta (3-7 mln),552,O‘rta (500-649),989979,Ha,180525759,Iste’mol krediti,24.6,18.0,152.3,Yo‘q,0,2,Overdraft,Visa Classic,5,1777742,O‘rtacha,Ha,Yo‘q,5.0,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Filial,Ha,Yuqori risk,4,Faol / Sodiq,Faol / Sodiq,743405.2899999999,Oltin (Tier 2)
UZB102518,Qodirova Shahnoza,Ayol,1990-04-28,36,35-44,Andijon,Andijon shahri,998907000000.0,shahnoza.qodiro34@inbox.uz,2025-12-24,8,Yangi (<1 yil),Anorbank,Filial-043,Retail,O‘rta,Turizm,Bo‘ydoq,7677272,Yuqori (7-15 mln),532,O‘rta (500-649),4500598,Ha,131749020,Avtokredit,31.9,36.0,47.7,Ha,783958,1,Biznes krediti,Mastercard Gold,14,3483140,Faol,Ha,Ha,1.0,Raqamli,O‘rta,Qisman,Yo‘q,0,Call-center,Ha,O'rtacha risk,5,Faol / Sodiq,Faol / Sodiq,1062419.9000000001,Platina (Tier 1)
UZB102335,Rasulova Umida,Ayol,2002-03-18,24,18-24,Andijon,Asaka,998992000000.0,umida.rasulo39@mail.ru,2022-07-21,49,Uzoq muddatli (3+ yil),Orient Finans bank,Filial-039,Retail,Oliy,Ishlab chiqarish,Uylangan/Turmushga chiqqan,6882686,O‘rta (3-7 mln),700,Yaxshi (650-749),1087850,Ha,116553767,Overdraft,19.5,6.0,282.2,Yo‘q,0,2,Iste’mol krediti,Uzcard,7,1036965,O‘rtacha,Yo‘q,Yo‘q,,An’anaviy,Past,Tasdiqlangan,Yo‘q,0,Mobil ilova,Ha,Yuqori risk,6,Faol / Sodiq,Faol / Sodiq,763400.4000000001,Oltin (Tier 2)
UZB103355,Olimova Shahnoza,Ayol,1989-11-27,36,35-44,Andijon,Shahrixon,998975000000.0,shahnoza.olimov83@gmail.com,2019-04-21,89,Uzoq muddatli (3+ yil),Orient Finans bank,Filial-022,VIP,Oliy,Davlat xizmati,Uylangan/Turmushga chiqqan,2053443,Past (< 3 mln),605,O‘rta (500-649),275609,Ha,95286846,Overdraft,18.8,60.0,77.3,Yo‘q,0,5,Kredit kartasi,Uzcard,10,3050783,Faol,Ha,Yo‘q,4.0,Raqamli,Yuqori,Tasdiqlangan,Yo‘q,0,Filial,Ha,Yuqori risk,7,Faol / Sodiq,Faol / Sodiq,280140.41000000003,Oddiy (Tier 3)
UZB102800,Rasulova Barno,Ayol,1993-08-31,32,25-34,Andijon,Asaka,998337000000.0,barno.rasulo98@yandex.ru,2022-07-18,50,Uzoq muddatli (3+ yil),Aloqabank,Filial-008,Retail,O‘rta,Qishloq xo‘jaligi,Uylangan/Turmushga chiqqan,2896112,Past (< 3 mln),700,Yaxshi (650-749),1099139,Ha,93489732,Biznes krediti,26.1,60.0,53.8,Yo‘q,0,3,Kredit kartasi,Mastercard Gold,7,360691,O‘rtacha,Ha,Ha,0.0,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Call-center,Ha,Yuqori risk,8,Faol / Sodiq,Faol / Sodiq,351781.97000000003,Oddiy (Tier 3)
UZB101670,Normatova Zarina,Ayol,1999-03-28,27,25-34,Andijon,Andijon shahri,998935000000.0,zarina.normat37@gmail.com,2019-12-27,81,Uzoq muddatli (3+ yil),Universal bank,Filial-017,Retail,O‘rta,Qishloq xo‘jaligi,Bo‘ydoq,9427881,Yuqori (7-15 mln),472,Yomon (<500),1629721,Ha,86100408,Biznes krediti,25.6,36.0,25.4,Yo‘q,0,2,Iste’mol krediti,Humo,7,3022340,O‘rtacha,Ha,Yo‘q,20.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Filial,Ha,Past risk (Xavfsiz),9,Faol / Sodiq,Faol / Sodiq,1084720.9500000002,Platina (Tier 1)
UZB102348,Valiyeva Madina,Ayol,1977-11-06,48,45-54,Andijon,Andijon shahri,998888000000.0,madina.valiye22@yandex.ru,2021-08-22,61,Uzoq muddatli (3+ yil),Asaka bank,Filial-070,Retail,Bakalavr,O‘zini o‘zi band qilgan,Uylangan/Turmushga chiqqan,8812714,Yuqori (7-15 mln),537,O‘rta (500-649),4862951,Ha,83424527,Ipoteка,29.2,6.0,157.8,Yo‘q,0,3,Mikroqarz,Visa Gold,6,4465337,O‘rtacha,Yo‘q,Yo‘q,,An’anaviy,O‘rta,Kutilmoqda,Yo‘q,0,Agent,Ha,Yuqori risk,10,Faol / Sodiq,Faol / Sodiq,1213725.69,Platina (Tier 1)
