mijoz_id,to'liq_ism,jinsi,tug'ilgan_sana,yoshi,Yosh_guruxi,viloyat,shahar_tuman,telefon,email,ro'yxatdan_o'tgan_sana,mijoz_staji_oy,Mijoz_staji_guruxi,bank,filial,mijoz_segmenti,ta'lim,kasb_sohasi,oilaviy_holat,o'rtacha_oylik_daromad_uzs,Daromad_guruxi,kredit_reytingi,Kredit_reytingi_guruxi,hisob_qoldig'i_uzs,kredit_mavjud,kredit_summasi_uzs,kredit_turi,yillik_foiz_stavkasi,kredit_muddati_oy,Kredit_yuklamasi_foiz,depozit_mavjud,depozit_summasi_uzs,mahsulotlar_soni,asosiy_mahsulot,karta_turi,oxirgi_oy_tranzaksiyalar_soni,oxirgi_oy_tranzaksiya_hajmi_uzs,Faollik_darajasi,mobil_ilova_foydalanadi,internet_banking,oxirgi_kirish_kunlari,Raqamli_mijoz,xavf_reytingi,kyc_status,muddati_o'tgan_qarz,muddati_o'tgan_kunlar,jalb_qilish_kanali,faol_mijoz
UZB100000,Mirzayev Aziz,Erkak,4/16/1983,43,35-44,Toshkent viloyati,Angren,998903000000.00,aziz.mirzay37@mail.ru,11/7/2018,94,Uzoq muddatli (3+ yil),Tenge Bank,Filial-078,Retail,Oliy,Ishlab chiqarish,Bo‘ydoq,4892504,O‘rta (3-7 mln),678,Yaxshi (650-749),12331109,Ha,16018613,Biznes krediti,18.1,60,5.5,Ha,3086194,1,Biznes krediti,Visa Gold,23,3877851,Juda faol,Yo‘q,Ha,2,Raqamli,O‘rta,Kutilmoqda,Yo‘q,0,Filial,Ha
UZB100001,Toshmatov Erkin,Erkak,12/4/1994,31,25-34,Toshkent viloyati,Angren,998952000000.00,erkin.toshma68@inbox.uz,6/8/2020,75,Uzoq muddatli (3+ yil),Asaka bank,Filial-049,Retail,O‘rta maxsus,Ishlab chiqarish,Bo‘ydoq,6384435,O‘rta (3-7 mln),447,Yomon (<500),250220,Ha,11922539,Kredit kartasi,27.3,60,3.1,Yo‘q,0,3,Overdraft,Mastercard Standard,7,2071296,O‘rtacha,Ha,Ha,2,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Veb-sayt,Ha
UZB100002,Tursunova Dilfuza,Ayol,5/21/1995,31,25-34,Toshkent shahri,Yunusobod,998952000000.00,dilfuza.tursun87@mail.ru,1/24/2024,31,O‘rta (1-3 yil),Davr bank,Filial-021,Retail,O‘rta maxsus,Ishlab chiqarish,Bo‘ydoq,3539701,O‘rta (3-7 mln),593,O‘rta (500-649),963138,Ha,104746150,Ipoteка,29.5,60,49.3,Yo‘q,0,1,Overdraft,UnionPay,7,2237390,O‘rtacha,Yo‘q,Ha,30,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Partner,Ha
UZB100003,Nazarova Oydin,Ayol,7/17/1978,48,45-54,Toshkent shahri,Olmazor,998945000000.00,oydin.nazaro84@umail.uz,5/7/2019,88,Uzoq muddatli (3+ yil),Agrobank,Filial-047,Retail,Bakalavr,Transport,Uylangan/Turmushga chiqqan,4970575,O‘rta (3-7 mln),592,O‘rta (500-649),336304,Ha,10346307,Kredit kartasi,29.1,24,8.7,Yo‘q,0,4,Iste’mol krediti,UnionPay,8,4897528,Faol,Yo‘q,Yo‘q,,An’anaviy,Past,Tasdiqlangan,Yo‘q,0,Mobil ilova,Ha
UZB100004,Saidov Sardor,Erkak,1/27/1977,49,45-54,Andijon,Shahrixon,998915000000.00,sardor.saidov92@yandex.ru,11/21/2018,94,Uzoq muddatli (3+ yil),Asaka bank,Filial-038,Retail,O‘rta,Turizm,Ajrashgan,2995278,Past (< 3 mln),592,O‘rta (500-649),2950591,Yo‘q,0,,,,0,Yo‘q,0,2,Mikroqarz,Mastercard Standard,7,4099379,O‘rtacha,Yo‘q,Ha,14,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Partner,Ha
UZB100005,Juraev Jamshid,Erkak,11/14/1983,42,35-44,Toshkent viloyati,Bekobod,998906000000.00,jamshid.juraev72@gmail.com,9/10/2022,48,Uzoq muddatli (3+ yil),Asaka bank,Filial-047,VIP,Magistr,Sog‘liqni saqlash,Uylangan/Turmushga chiqqan,15817470,Juda yuqori (15+ mln),616,O‘rta (500-649),12962516,Yo‘q,0,,,,0,Ha,223749,1,Biznes krediti,Mastercard Standard,12,6214703,Faol,Ha,Ha,12,Raqamli,Yuqori,Tasdiqlangan,Yo‘q,0,Call-center,Ha
UZB100006,Axmedova Iqbol,Ayol,9/4/1986,39,35-44,Qoraqalpog‘iston,Xo‘jayli,998944000000.00,iqbol.axmedo49@umail.uz,3/29/2020,78,Uzoq muddatli (3+ yil),Milliy bank,Filial-057,VIP,O‘rta,Ta’lim,Uylangan/Turmushga chiqqan,1500000,Past (< 3 mln),600,O‘rta (500-649),3043549,Ha,74783261,Avtokredit,18.1,48,103.9,Yo‘q,0,1,Iste’mol krediti,Mastercard Standard,8,1418095,Faol,Ha,Ha,26,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Agent,Ha
UZB100007,Axmedov Laziz,Erkak,4/19/1972,54,45-54,Navoiy,Zarafshon,998885000000.00,laziz.axmedo70@umail.uz,1/4/2023,44,Uzoq muddatli (3+ yil),Universal bank,Filial-013,Retail,O‘rta maxsus,Qurilish,Uylangan/Turmushga chiqqan,6094439,O‘rta (3-7 mln),592,O‘rta (500-649),4447045,Ha,15697826,Kredit kartasi,18.8,48,5.4,Ha,2664139,2,Iste’mol krediti,Mastercard Gold,5,1019952,O‘rtacha,Ha,Ha,34,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Call-center,Ha
UZB100008,Tursunova Husnida,Ayol,11/14/1997,28,25-34,Toshkent shahri,Sergeli,998883000000.00,husnida.tursun16@inbox.uz,5/13/2023,40,Uzoq muddatli (3+ yil),Kapitalbank,Filial-012,Mass,Magistr,IT/Texnologiya,Uylangan/Turmushga chiqqan,6264799,O‘rta (3-7 mln),437,Yomon (<500),639429,Ha,69969001,Biznes krediti,23.3,24,46.5,Yo‘q,0,6,Biznes krediti,UnionPay,6,950186,O‘rtacha,Ha,Ha,3,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Filial,Ha
UZB100009,Rasulova Laylo,Ayol,6/17/1988,38,35-44,Qashqadaryo,Kitob,998884000000.00,laylo.rasulo34@yandex.ru,9/13/2018,96,Uzoq muddatli (3+ yil),Universal bank,Filial-008,SME,O‘rta,Turizm,Uylangan/Turmushga chiqqan,4710701,O‘rta (3-7 mln),647,O‘rta (500-649),1901865,Yo‘q,0,,,,0,Yo‘q,0,6,Iste’mol krediti,Mastercard Standard,9,948163,Faol,Yo‘q,Yo‘q,,An’anaviy,O‘rta,Rad etilgan,Yo‘q,0,Partner,Ha
